Short Name,Dataset,Root request,Root request status,Root request priority,Root request done events,Root request total events,Root request output,MiniAOD status,MiniAOD priority,MiniAOD done events,MiniAOD total events,MiniAOD output,NanoAOD status,NanoAOD priority,NanoAOD done events,NanoAOD total events,NanoAOD output,Chained request,Interested PWGs,Tags
Ato2Mu-2HDMPlusS,Ato2Mu-2HDMPlusS_Par-M-10_TuneCP5_13p6TeV_pythia8,EXO-RunIII2024Summer24GS-00105,submitted,90000,-1,50000,,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-10_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24MiniAOD-140X_mcRun3_2024_realistic_v26-v2/MINIAODSIM,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-10_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAOD-140X_mcRun3_2024_realistic_v26-v2/NANOAODSIM,EXO-chain_RunIII2024Summer24GS_flowRunIII2024Summer24DRPremixNoOutput_flowRunIII2024Summer24MiniAOD_flowRunIII2024Summer24NanoAOD-00033,EXO,
Ato2Mu-2HDMPlusS,Ato2Mu-2HDMPlusS_Par-M-10_TuneCP5_13p6TeV_pythia8,EXO-RunIII2024Summer24GS-00105,submitted,90000,-1,50000,,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-10_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24MiniAODv6-150X_mcRun3_2024_realistic_v2-v2/MINIAODSIM,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-10_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM,EXO-chain_RunIII2024Summer24GS_flowRunIII2024Summer24DRPremixNoOutput_flowRunIII2024Summer24MiniAODv6_flowRunIII2024Summer24NanoAODv15-00033,EXO,
Ato2Mu-2HDMPlusS,Ato2Mu-2HDMPlusS_Par-M-1_TuneCP5_13p6TeV_pythia8,EXO-RunIII2024Summer24GS-00100,submitted,90000,-1,50000,,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-1_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24MiniAOD-140X_mcRun3_2024_realistic_v26-v2/MINIAODSIM,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-1_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAOD-140X_mcRun3_2024_realistic_v26-v2/NANOAODSIM,EXO-chain_RunIII2024Summer24GS_flowRunIII2024Summer24DRPremixNoOutput_flowRunIII2024Summer24MiniAOD_flowRunIII2024Summer24NanoAOD-00028,EXO,
Ato2Mu-2HDMPlusS,Ato2Mu-2HDMPlusS_Par-M-1_TuneCP5_13p6TeV_pythia8,EXO-RunIII2024Summer24GS-00100,submitted,90000,-1,50000,,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-1_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24MiniAODv6-150X_mcRun3_2024_realistic_v2-v2/MINIAODSIM,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-1_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM,EXO-chain_RunIII2024Summer24GS_flowRunIII2024Summer24DRPremixNoOutput_flowRunIII2024Summer24MiniAODv6_flowRunIII2024Summer24NanoAODv15-00028,EXO,
Ato2Mu-2HDMPlusS,Ato2Mu-2HDMPlusS_Par-M-2_TuneCP5_13p6TeV_pythia8,EXO-RunIII2024Summer24GS-00101,submitted,90000,-1,50000,,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-2_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24MiniAOD-140X_mcRun3_2024_realistic_v26-v2/MINIAODSIM,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-2_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAOD-140X_mcRun3_2024_realistic_v26-v2/NANOAODSIM,EXO-chain_RunIII2024Summer24GS_flowRunIII2024Summer24DRPremixNoOutput_flowRunIII2024Summer24MiniAOD_flowRunIII2024Summer24NanoAOD-00029,EXO,
Ato2Mu-2HDMPlusS,Ato2Mu-2HDMPlusS_Par-M-2_TuneCP5_13p6TeV_pythia8,EXO-RunIII2024Summer24GS-00101,submitted,90000,-1,50000,,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-2_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24MiniAODv6-150X_mcRun3_2024_realistic_v2-v2/MINIAODSIM,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-2_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM,EXO-chain_RunIII2024Summer24GS_flowRunIII2024Summer24DRPremixNoOutput_flowRunIII2024Summer24MiniAODv6_flowRunIII2024Summer24NanoAODv15-00029,EXO,
Ato2Mu-2HDMPlusS,Ato2Mu-2HDMPlusS_Par-M-4_TuneCP5_13p6TeV_pythia8,EXO-RunIII2024Summer24GS-00102,submitted,90000,-1,50000,,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-4_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24MiniAOD-140X_mcRun3_2024_realistic_v26-v2/MINIAODSIM,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-4_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAOD-140X_mcRun3_2024_realistic_v26-v2/NANOAODSIM,EXO-chain_RunIII2024Summer24GS_flowRunIII2024Summer24DRPremixNoOutput_flowRunIII2024Summer24MiniAOD_flowRunIII2024Summer24NanoAOD-00030,EXO,
Ato2Mu-2HDMPlusS,Ato2Mu-2HDMPlusS_Par-M-4_TuneCP5_13p6TeV_pythia8,EXO-RunIII2024Summer24GS-00102,submitted,90000,-1,50000,,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-4_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24MiniAODv6-150X_mcRun3_2024_realistic_v2-v2/MINIAODSIM,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-4_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM,EXO-chain_RunIII2024Summer24GS_flowRunIII2024Summer24DRPremixNoOutput_flowRunIII2024Summer24MiniAODv6_flowRunIII2024Summer24NanoAODv15-00030,EXO,
Ato2Mu-2HDMPlusS,Ato2Mu-2HDMPlusS_Par-M-6_TuneCP5_13p6TeV_pythia8,EXO-RunIII2024Summer24GS-00103,submitted,90000,-1,50000,,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-6_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24MiniAOD-140X_mcRun3_2024_realistic_v26-v2/MINIAODSIM,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-6_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAOD-140X_mcRun3_2024_realistic_v26-v2/NANOAODSIM,EXO-chain_RunIII2024Summer24GS_flowRunIII2024Summer24DRPremixNoOutput_flowRunIII2024Summer24MiniAOD_flowRunIII2024Summer24NanoAOD-00031,EXO,
Ato2Mu-2HDMPlusS,Ato2Mu-2HDMPlusS_Par-M-6_TuneCP5_13p6TeV_pythia8,EXO-RunIII2024Summer24GS-00103,submitted,90000,-1,50000,,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-6_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24MiniAODv6-150X_mcRun3_2024_realistic_v2-v2/MINIAODSIM,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-6_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM,EXO-chain_RunIII2024Summer24GS_flowRunIII2024Summer24DRPremixNoOutput_flowRunIII2024Summer24MiniAODv6_flowRunIII2024Summer24NanoAODv15-00031,EXO,
Ato2Mu-2HDMPlusS,Ato2Mu-2HDMPlusS_Par-M-8_TuneCP5_13p6TeV_pythia8,EXO-RunIII2024Summer24GS-00104,submitted,90000,-1,50000,,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-8_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24MiniAOD-140X_mcRun3_2024_realistic_v26-v2/MINIAODSIM,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-8_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAOD-140X_mcRun3_2024_realistic_v26-v2/NANOAODSIM,EXO-chain_RunIII2024Summer24GS_flowRunIII2024Summer24DRPremixNoOutput_flowRunIII2024Summer24MiniAOD_flowRunIII2024Summer24NanoAOD-00032,EXO,
Ato2Mu-2HDMPlusS,Ato2Mu-2HDMPlusS_Par-M-8_TuneCP5_13p6TeV_pythia8,EXO-RunIII2024Summer24GS-00104,submitted,90000,-1,50000,,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-8_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24MiniAODv6-150X_mcRun3_2024_realistic_v2-v2/MINIAODSIM,submitted,90000,0,50000,/Ato2Mu-2HDMPlusS_Par-M-8_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM,EXO-chain_RunIII2024Summer24GS_flowRunIII2024Summer24DRPremixNoOutput_flowRunIII2024Summer24MiniAODv6_flowRunIII2024Summer24NanoAODv15-00032,EXO,
